"row_value","depth","analysis"
"p025",0.268373129445843,"a_one"
"mean",0.325398900045088,"a_one"
"p975",0.384372107995738,"a_one"
"p025",0.26882048471704,"a_one_flat"
"mean",0.325398900045088,"a_one_flat"
"p975",0.383076698018733,"a_one_flat"
"p025",0.838561012882551,"a_two"
"mean",0.895292100299528,"a_two"
"p975",0.941918566603324,"a_two"
"p025",0.842509265692846,"a_two_flat"
"mean",0.899960381678249,"a_two_flat"
"p975",0.946312607087343,"a_two_flat"
"p025",0.814323153055627,"a_three"
"mean",0.907543095200045,"a_three"
"p975",0.967389089355288,"a_three"
"p025",0.815419713709138,"a_three_flat"
"mean",0.909547237916377,"a_three_flat"
"p975",0.969223791231838,"a_three_flat"
"p025",0.810185958120689,"a_four"
"mean",0.91948335646209,"a_four"
"p975",0.981681343986866,"a_four"
"p025",0.802823049534592,"a_four_flat"
"mean",0.914579391948936,"a_four_flat"
"p975",0.979788765258242,"a_four_flat"
