date_time,elapsed_seconds,posix_timestamp,timestamp,distance,enhanced_speed,enhanced_altitude,position_lat,position_long,have_gps_data,have_hrm_data,have_stryd_data,hrm_vertical_oscillation,hrm_stance_time_percent,hrm_stance_time,hrm_vertical_ratio,hrm_stance_time_balance,hrm_step_length,hrm_heart_rate,hrm_cadence,hrm_fractional_cadence,hrm_cadence_sum,stryd_power,stryd_cadence,stryd_stance_time,stryd_vertical_oscillation,stryd_air_power,stryd_form_power,stryd_leg_spring_stiffness,activity_type,subject
2023-03-08T19:37:40Z,0,1678304260,1047238660,0,0,244.20000000000005,467334383,-1032231962,1,1,1,7.7,43.5,464,0.87,52.87,486,88,61,0,61,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:41Z,1,1678304261,1047238661,2.77,0,244.39999999999998,467334514,-1032232312,1,1,1,7.7,43.5,464,1.34,52.65,434,87,61,0,61,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:42Z,2,1678304262,1047238662,2.77,0,244.39999999999998,467334514,-1032232312,1,1,1,7.7,43.5,464,5.15,51.12,313,83,61,0,61,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:43Z,3,1678304263,1047238663,5.4,0,244.60000000000002,467334559,-1032232672,1,1,1,106.2,35.25,255,5.15,51.12,313,89,81,0.5,81.5,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:44Z,4,1678304264,1047238664,8.5,0,245.20000000000005,467334621,-1032233107,1,1,1,111.2,35.75,256,13.46,50.62,899,92,82,0.5,82.5,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:45Z,5,1678304265,1047238665,11.96,0.243,245.79999999999995,467334613,-1032233589,1,1,1,112.2,36.5,258,13.15,50.43,899,97,83,0.5,83.5,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:46Z,6,1678304266,1047238666,15.73,0.271,246.39999999999998,467334617,-1032234110,1,1,1,111.2,36.5,260,13.15,50.43,899,100,84,0,84,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:47Z,7,1678304267,1047238667,19.91,3.107,246.79999999999995,467334679,-1032234684,1,1,1,110.2,36.75,260,10.71,50.03,1257,101,84,0,84,0,0,0,0,0,0,0,1,V01
2023-03-08T19:37:48Z,8,1678304268,1047238668,23.77,3.247,247.39999999999998,467334712,-1032235214,1,1,1,110.2,36.75,260,10.03,49.9,1255,103,84,0,84,159,0,452,0,3,0,0,1,V01
2023-03-08T19:37:49Z,9,1678304269,1047238669,27.8,3.294,247.79999999999995,467334724,-1032235772,1,1,1,109.2,36.5,260,10.03,49.9,1255,105,84,0,84,172,0,342,0,6,0,0,1,V01
2023-03-08T19:37:50Z,10,1678304270,1047238670,31.93,3.592,248.20000000000005,467334755,-1032236342,1,1,1,109.2,36.5,260,9.46,49.81,1259,106,84,0,84,186,0,228,0,5,0,0,1,V01
2023-03-08T19:37:51Z,11,1678304271,1047238671,35.39,3.695,248.39999999999998,467334780,-1032236824,1,1,1,109.2,36.5,260,9.15,49.81,1291,107,84,0,84,192,0,228,0,4,0,0,1,V01
2023-03-08T19:37:52Z,12,1678304272,1047238672,39.11,3.695,248.60000000000002,467334695,-1032237337,1,1,1,112.2,36,259,8.96,49.81,1306,108,83,0.5,83.5,204,84,228,8.5,4,43,7.625,1,V01
